nama_usaha,laba,jenis_usaha,tenaga_kerja_perempuan,tenaga_kerja_laki_laki,tahun_berdiri,status_legalitas,marketplace,kapasitas_produksi,aset,omset,biaya_karyawan,jumlah_pelanggan,Cluster_KMeans_cat_a,Cluster_KMeans_cat_b,CrossCluster,klas_laba
UD. Zulfa Buana,8964265.0,1.0,3.0,88.0,2005.0,0.0,2.0,79.0,1700684.0,10664949.0,273000000.0,79.0,1,0,10,untung
UD. Kiki Padi,20942736.0,2.0,77.0,37.0,2001.0,0.0,1.0,614.0,3335900.0,24278636.0,342000000.0,614.0,1,0,10,untung
UD. Okta Wicaksana,16201078.0,5.0,61.2,59.0,2007.0,1.0,4.0,721.0,7957995.0,24159073.0,339000000.0,721.0,1,1,11,untung
UD. Rizki Selaras,25012679.0,4.0,98.0,4.0,2016.0,1.0,0.0,685.0,801167.0,25813846.0,306000000.0,685.0,0,0,0,untung
UD. Galang Wirajaya,31082117.0,4.0,72.0,8.0,2001.0,0.0,3.0,46.0,8807237.0,39889354.0,240000000.0,46.0,1,1,11,untung
UD. Miko Abdi,-2164963.0,2.0,57.0,3.0,2008.0,0.0,3.0,319.0,5610540.0,3445577.0,180000000.0,319.0,1,1,11,rugi
UD. Riko Hilir,32643239.0,2.0,94.0,76.0,2017.0,1.0,1.0,175.0,2654270.0,35297509.0,510000000.0,175.0,0,0,0,untung
UD. Mega Mandala,27582708.0,1.0,60.0,53.0,2011.0,1.0,3.0,190.0,1878271.0,29460979.0,339000000.0,190.0,1,0,10,untung
UD. Qais Mayang,-1789398.0,4.0,88.0,56.0,2002.0,1.0,4.0,627.0,6383738.0,4594340.0,432000000.0,627.0,1,1,11,rugi
UD. Hanaura Trijaya,43598134.0,4.0,75.0,7.0,2007.0,0.0,1.0,706.0,2448366.0,46046500.0,246000000.0,706.0,1,0,10,untung
UD. Umi Trisula,28536978.0,4.0,48.0,89.0,2020.0,0.0,4.0,260.0,7865443.0,36402421.0,411000000.0,260.0,0,1,1,untung
UD. Fikra Maju,32635312.0,2.0,25.0,13.0,2012.0,0.0,4.0,116.0,5963153.0,38598465.0,114000000.0,116.0,0,1,1,untung
UD. Uci Cempaka,34955943.0,2.0,24.0,27.0,2022.0,0.0,1.0,753.0,5905751.0,40861694.0,153000000.0,753.0,0,1,1,untung
UD. Ony Kencana,-1240040.0,4.0,94.0,91.0,2023.0,0.0,0.0,382.0,6434410.0,5194370.0,555000000.0,382.0,0,1,1,rugi
UD. Vita Prabawa,21135964.0,2.0,10.0,80.0,2006.0,0.0,1.0,633.0,6972206.0,28108170.0,270000000.0,633.0,1,1,11,untung
UD. Elok Anggrek,41881515.0,5.0,1.0,46.0,2021.0,1.0,4.0,959.0,1442496.0,43324011.0,141000000.0,321.4,0,0,0,untung
UD. Rahmat Bangun,5108477.0,4.0,72.0,86.0,2012.0,1.0,4.0,481.0,1490652.0,6599129.0,474000000.0,481.0,0,0,0,untung
UD. Rangga Berkarya,34900623.0,2.0,71.0,95.0,2006.0,0.0,0.0,493.0,8842184.0,43742807.0,498000000.0,493.0,1,1,11,untung
UD. Ari Sarwono Koko,2876626.0,1.0,55.0,52.0,2018.0,1.0,1.0,632.0,5013024.0,7889650.0,321000000.0,632.0,0,0,0,untung
UD. Binar Hilir,27388537.0,1.0,80.0,77.0,2022.0,0.0,2.0,647.0,3332308.0,30720845.0,471000000.0,647.0,0,0,0,untung
UD. Jafar Adiwarna Febri,686108.0,1.0,82.0,73.0,2008.0,1.0,0.0,256.0,3356312.0,4042420.0,465000000.0,256.0,1,0,10,untung
UD. Joko Kusumatmaja,12740333.0,2.0,8.0,98.0,2011.0,1.0,2.0,893.0,9602029.0,22342362.0,318000000.0,893.0,1,1,11,untung
UD. Hendra Artha,13879717.0,2.0,99.0,66.0,2002.0,1.0,1.0,473.0,9670684.0,23550401.0,495000000.0,473.0,1,1,11,untung
UD. Vega Prima,41347596.0,5.0,14.0,65.0,2018.0,1.0,0.0,498.0,2731129.0,44078725.0,237000000.0,498.0,0,0,0,untung
UD. Zain Bersemi,31857077.0,1.0,53.0,81.0,2015.0,0.0,3.0,20.0,2074469.0,33931546.0,402000000.0,20.0,0,0,0,untung
UD. Nindy Cempaka,16958174.0,1.0,92.0,4.0,2023.0,0.0,1.0,524.0,9958054.0,26916228.0,288000000.0,524.0,0,1,1,untung
UD. Yessi Selaras,7812934.0,2.0,49.0,94.0,2010.0,0.0,1.0,300.0,6378287.0,14191221.0,429000000.0,300.0,1,1,11,untung
UD. Lintang Paseban Bela,27156716.0,1.0,11.0,8.0,2020.0,1.0,0.0,937.0,1322096.0,28478812.0,57000000.0,398.8,0,0,0,untung
UD. Marsel Kusumatmaja,22808922.0,2.0,0.0,68.0,2022.0,1.0,1.0,365.0,2863640.0,25672562.0,204000000.0,365.0,0,0,0,untung
UD. Niken Trisula,20227191.0,4.0,66.0,15.0,2000.0,0.0,1.0,697.0,4668688.0,24895879.0,243000000.0,697.0,1,0,10,untung
UD. Nara Selaras Chiko,18869766.0,4.0,27.0,23.0,2015.0,0.0,4.0,226.0,1360328.0,20230094.0,150000000.0,226.0,0,0,0,untung
UD. Sekar Abdi Fajar,-4185675.0,4.0,51.4,74.0,2005.0,1.0,4.0,11.0,5636506.0,1450831.0,384000000.0,11.0,1,1,11,rugi
UD. Lintang Wirajaya,1159458.0,2.0,92.0,57.0,2015.0,1.0,2.0,34.0,5167287.0,6326745.0,447000000.0,34.0,0,0,0,untung
UD. Yani Widhi Andi,37419512.0,2.0,36.0,15.0,2019.0,1.0,1.0,877.0,5633241.0,43052753.0,153000000.0,877.0,0,1,1,untung
UD. Uchie Agung Gilang,-3487585.0,5.0,97.0,31.0,2007.0,1.0,3.0,442.0,6271556.0,2783971.0,384000000.0,442.0,1,1,11,rugi
UD. Cici Sanjaya,27154864.0,1.0,43.0,52.0,2001.0,0.0,1.0,618.0,5247766.0,32402630.0,285000000.0,618.0,1,1,11,untung
UD. Aldo Wirajaya Bayu,38654626.0,2.0,98.0,33.0,2013.0,1.0,1.0,655.8,5027130.0,43681756.0,393000000.0,585.0,0,0,0,untung
UD. Yasir Asmaralaya,39285452.0,1.0,11.0,4.0,2001.0,0.0,3.0,945.0,1346358.0,40631810.0,45000000.0,945.0,1,0,10,untung
UD. Alif Terang,20553394.0,2.0,11.0,54.0,2003.0,0.0,0.0,526.0,1008277.0,21561671.0,195000000.0,526.0,1,0,10,untung
UD. Rangga Baru,6445892.0,1.0,96.0,99.0,2017.0,1.0,0.0,170.0,3833488.0,10279380.0,585000000.0,170.0,0,0,0,untung
UD. Salsa Tejakencana,3185032.0,1.0,67.0,46.0,2011.0,1.0,4.0,163.0,8054846.0,11239878.0,339000000.0,163.0,1,1,11,untung
UD. Mila Mahendra Hanafi,35240487.0,2.0,13.0,38.0,2011.0,0.0,0.0,827.0,5893108.0,41133595.0,102000000.0,827.0,1,1,11,untung
UD. Diva Jayengprana,31287665.0,5.0,10.0,76.0,2001.0,1.0,1.0,837.0,8979694.0,40267359.0,258000000.0,837.0,1,1,11,untung
UD. Yusuf Siang Najwa,23411649.0,5.0,41.0,86.0,2004.0,1.0,3.0,189.0,2810926.0,26222575.0,381000000.0,189.0,1,0,10,untung
UD. Qamar Haji Putra,13106416.0,4.0,94.0,80.0,2000.0,1.0,1.0,248.0,1079793.0,14186209.0,522000000.0,248.0,1,0,10,untung
UD. Kamil Sangkala,15176557.0,5.0,43.0,34.0,2017.0,1.0,2.0,664.0,9995443.0,25172000.0,231000000.0,664.0,0,1,1,untung
UD. Okta Hilir,38175075.0,1.0,41.0,49.0,2003.0,0.0,2.4,125.0,3805625.0,41980700.0,270000000.0,125.0,1,0,10,untung
UD. Yora Wicaksana Binar,2647198.0,4.0,98.0,46.0,2004.0,0.0,0.0,108.0,2480523.0,5127721.0,432000000.0,108.0,1,0,10,untung
UD. Panji Asa,23980059.0,5.0,1.0,86.0,2012.0,1.0,4.0,942.0,7401527.0,31381586.0,261000000.0,942.0,1,1,11,untung
UD. Widya Jaladara Jojo,39817321.0,2.0,16.0,10.0,2024.0,0.0,2.0,934.0,1701805.0,41519126.0,78000000.0,934.0,0,0,0,untung
UD. Novi Binasena,38176580.0,4.0,39.0,91.0,2001.0,0.0,1.0,103.0,9917715.0,48094295.0,390000000.0,103.0,1,1,11,untung
UD. Kinan Haji,31893102.0,1.0,19.0,17.0,2010.0,1.0,1.0,447.0,8762769.0,40655871.0,108000000.0,447.0,1,1,11,untung
UD. Ojan Kusen,16936097.0,4.0,49.0,18.0,2009.0,1.0,1.0,742.0,6206305.0,23142402.0,201000000.0,742.0,1,1,11,untung
UD. Febri Agastya,37161786.0,1.0,19.0,57.0,2013.0,1.0,2.0,170.0,9804627.0,46966413.0,228000000.0,170.0,0,1,1,untung
UD. Maudy Wirawati,30903781.0,2.0,99.0,80.0,2017.0,0.0,2.0,715.0,2672628.0,33576409.0,537000000.0,715.0,0,0,0,untung
UD. Jodi Lingga,21726025.0,5.0,53.0,21.0,2020.0,0.0,3.0,143.0,5671054.0,27397079.0,222000000.0,143.0,0,1,1,untung
UD. Marsel Ratu,30723047.0,5.0,60.0,6.0,2011.0,0.0,1.0,240.0,790238.0,31513285.0,198000000.0,240.0,1,0,10,untung
UD. Fira Asri,28814501.0,4.0,76.0,79.0,2018.0,0.0,4.0,846.0,8828830.0,37643331.0,465000000.0,846.0,0,1,1,untung
UD. Cinta Puri,4715337.0,2.0,11.0,26.0,2021.0,0.0,0.0,340.0,2751792.0,7467129.0,111000000.0,340.0,0,0,0,untung
UD. Pasha Anindita,-520633.0,4.0,26.0,1.0,2006.0,0.0,2.0,80.0,9820609.0,9299976.0,81000000.0,80.0,1,1,11,rugi
UD. Monica Manunggal,23027414.0,1.0,22.0,19.0,2020.0,0.0,0.0,779.0,8757677.0,31785091.0,123000000.0,779.0,0,1,1,untung
UD. Ovan Siang,31463072.0,1.0,51.0,91.0,2000.0,1.0,3.0,872.0,1352867.0,32815939.0,426000000.0,872.0,1,0,10,untung
UD. Utha Bahagia,40324934.0,2.0,4.0,76.0,2014.0,1.0,4.0,903.0,8880456.0,49205390.0,240000000.0,903.0,0,1,1,untung
UD. Kinan Trisakti,27348306.0,4.0,42.0,20.0,2001.0,1.0,2.0,828.0,3194316.0,30542622.0,186000000.0,828.0,1,0,10,untung
UD. Jojo Satria,3882405.0,5.0,7.0,41.0,2016.0,0.0,3.0,354.0,6687689.0,10570094.0,144000000.0,354.0,0,1,1,untung
UD. Oki Rejo,31190467.0,2.0,47.0,30.0,2023.0,0.0,0.0,986.0,877780.0,32068247.0,231000000.0,986.0,0,0,0,untung
UD. Balqis Mulya,33313229.0,1.0,67.0,62.0,2008.0,1.0,3.0,189.0,2826504.0,36139733.0,387000000.0,189.0,1,0,10,untung
UD. Cipta Kencana,22258496.0,4.0,14.0,3.0,2007.0,1.0,4.0,944.0,6500588.0,28759084.0,211800000.0,944.0,1,1,11,untung
UD. Rendi Harapan,5292603.0,5.0,51.8,93.0,2008.0,0.0,1.0,849.0,1093479.0,6386082.0,324000000.0,849.0,1,0,10,untung
UD. Qais Wiyata,39992489.0,4.0,39.0,8.0,2006.0,0.0,0.0,329.0,9016590.0,49009079.0,141000000.0,329.0,1,1,11,untung
UD. Cipta Taruna,10416748.0,4.0,46.0,35.0,2011.0,0.0,1.0,287.0,7610541.0,18027289.0,243000000.0,287.0,1,1,11,untung
UD. Yani Putra,33274573.0,1.0,64.0,88.0,2004.0,0.0,3.0,115.0,5399860.0,38674433.0,456000000.0,115.0,1,1,11,untung
UD. Cipta Satria,-6639851.0,2.0,30.0,89.0,2002.0,0.0,4.0,732.0,9583836.0,2943985.0,357000000.0,732.0,1,1,11,rugi
UD. Taufik Saputra,14012097.0,5.0,80.0,12.0,2015.0,1.0,1.0,202.0,9036826.0,23048923.0,276000000.0,202.0,0,1,1,untung
UD. Diva Gatra Clarissa,-7579169.0,4.0,61.0,55.0,2021.0,0.0,1.0,350.0,9990486.0,2411317.0,348000000.0,350.0,0,1,1,rugi
UD. Rendi Dewangga,2883152.0,4.0,91.0,4.0,2000.0,1.0,4.0,171.0,1406668.0,4289820.0,285000000.0,171.0,1,0,10,untung
UD. Viera Pusaka,16609642.0,2.0,17.0,14.0,2014.0,1.0,0.0,613.0,4809841.0,21419483.0,93000000.0,613.0,0,0,0,untung
UD. Putra Wijaya,31085713.0,5.0,43.0,61.0,2013.0,0.0,3.0,135.0,3793970.0,34879683.0,340200000.0,135.0,0,0,0,untung
UD. Rizki Nirbayu,18304001.0,5.0,44.0,2.0,2010.0,1.0,1.0,963.0,5593379.0,23897380.0,138000000.0,963.0,1,1,11,untung
UD. Syifa Praja,16965635.0,5.0,8.0,51.0,2010.0,0.0,3.0,706.0,3107747.0,20073382.0,177000000.0,706.0,1,0,10,untung
UD. Ciko Gita,9457922.0,1.0,25.0,23.0,2007.0,0.0,2.0,428.0,7341462.0,16799384.0,144000000.0,428.0,1,1,11,untung
UD. Heri Utama,14363873.0,1.0,91.0,19.0,2018.0,0.0,2.0,707.0,7001823.0,21365696.0,330000000.0,707.0,0,1,1,untung
UD. Grego Bima,4788578.0,5.0,0.0,9.0,2011.0,0.0,1.0,330.0,613802.0,5402380.0,27000000.0,330.0,1,0,10,untung
UD. Umar Tri,2702020.0,1.0,3.0,63.0,2011.0,0.0,0.0,559.0,1573332.0,4275352.0,198000000.0,559.0,1,0,10,untung
UD. Barokah Jatiwangi,3326489.0,1.0,85.0,26.0,2013.0,0.0,2.0,410.0,6940257.0,10266746.0,333000000.0,410.0,0,1,1,untung
UD. Irma Ranggalawe,21101969.0,4.0,55.0,48.0,2019.0,1.0,0.0,423.0,4214056.0,25316025.0,309000000.0,423.0,0,0,0,untung
UD. Sinta Adiwarna Utha,30872677.0,2.0,5.0,51.0,2011.0,0.0,4.0,140.0,1891386.0,32764063.0,168000000.0,140.0,1,0,10,untung
UD. Intan Cahaya Opik,16042922.4,1.0,2.0,17.0,2009.0,0.0,2.0,230.0,3510416.0,18111549.0,57000000.0,230.0,1,0,10,untung
UD. Khalid Nawasena Zaki,-2677878.0,5.0,26.0,48.0,2013.0,1.0,0.0,669.0,9859852.0,7181974.0,222000000.0,669.0,0,1,1,rugi
UD. Wira Buana,10081080.0,2.0,69.0,59.0,2000.0,0.0,2.0,867.0,7889847.0,17970927.0,384000000.0,867.0,1,1,11,untung
UD. Salsa Tunggal,9845238.0,2.0,90.0,53.0,2012.0,0.0,1.0,513.0,9174007.0,19019245.0,429000000.0,486.0,1,1,11,untung
UD. Zidan Praja,-2793301.0,1.0,80.0,58.0,2009.0,1.0,3.0,164.0,5381995.0,2588694.0,414000000.0,164.0,1,1,11,rugi
UD. Ovan Cendana,25749201.0,4.0,34.0,69.0,2012.0,0.0,1.0,882.0,2606927.0,28356128.0,309000000.0,882.0,1,0,10,untung
UD. Ismail Adikara,29124849.0,2.0,84.0,83.0,2024.0,1.0,0.0,456.0,6521056.0,35645905.0,501000000.0,456.0,0,1,1,untung
UD. Romi Sudharmo,12884144.0,2.0,17.0,99.0,2000.0,0.0,2.0,978.0,9729740.0,22613884.0,348000000.0,978.0,1,1,11,untung
UD. Zidan Harapan Syifa,25991508.0,2.0,32.0,69.0,2006.0,1.0,4.0,25.0,9729649.0,35721157.0,303000000.0,25.0,1,1,11,untung
UD. Santi Widuri,9656142.0,2.0,73.0,2.0,2011.0,0.0,4.0,339.0,5643367.0,15299509.0,225000000.0,339.0,1,1,11,untung
UD. Vera Anindita Anis,22178581.0,4.0,83.0,35.0,2009.0,0.0,3.0,297.0,9557429.0,31736010.0,354000000.0,297.0,1,1,11,untung
UD. Elsa Wijaya,11640143.0,2.0,75.0,15.0,2013.0,1.0,1.0,339.0,7444345.0,19084488.0,270000000.0,339.0,0,1,1,untung
UD. Harun Wiratama,42141163.0,5.0,47.0,18.0,2015.0,1.0,0.0,905.0,3654094.0,45795257.0,195000000.0,905.0,0,0,0,untung
UD. Tama Maju,26111802.0,2.0,31.0,60.0,2014.0,0.0,4.0,403.0,6684789.0,32796591.0,273000000.0,403.0,0,1,1,untung
UD. Elsa Jayaningrat,6760344.0,5.0,48.0,82.0,2008.0,1.0,1.0,453.0,4283480.0,11043824.0,390000000.0,453.0,1,0,10,untung
UD. Qyla Manik,22658135.0,5.0,86.0,16.0,2001.0,0.0,1.0,912.0,5216302.0,27874437.0,306000000.0,912.0,1,1,11,untung
UD. Andi Tejakencana,30026275.0,1.0,48.0,81.0,2001.0,0.8,4.0,878.0,2457507.0,32483782.0,387000000.0,878.0,1,0,10,untung
UD. Farhan Nusa,14755449.0,4.0,84.0,88.0,2004.0,0.0,4.0,254.0,7350950.0,22106399.0,516000000.0,254.0,1,1,11,untung
UD. Zain Tejakencana,39809592.0,4.0,26.0,35.0,2013.0,0.0,4.0,862.0,6458134.0,46267726.0,183000000.0,862.0,0,1,1,untung
UD. Fani Jatiwangi,25746996.0,1.0,15.0,87.0,2009.0,0.0,1.0,189.0,8715045.0,34462041.0,306000000.0,189.0,1,1,11,untung
UD. Rafif Rejo,18643444.0,1.0,36.0,47.0,2015.0,0.0,1.0,795.0,3732914.0,22376358.0,249000000.0,795.0,0,0,0,untung
UD. Gracia Cinta,22879826.4,1.0,17.0,26.0,2002.0,0.0,3.0,461.0,3792485.0,24082474.0,129000000.0,461.0,1,0,10,untung
UD. Gracia Wiratama,4221312.0,2.0,52.0,48.0,2018.0,0.0,2.0,974.0,7558686.0,11779998.0,300000000.0,444.2,0,1,1,untung
UD. Putra Utama,21253109.0,2.0,5.0,93.0,2015.0,0.0,2.0,154.0,1674887.0,22927996.0,294000000.0,154.0,0,0,0,untung
UD. Ujang Rejo,17952185.0,2.0,17.0,73.0,2000.0,0.0,1.0,572.0,1545734.0,19497919.0,270000000.0,572.0,1,0,10,untung
UD. Jafar Putri,33481426.0,4.0,37.0,94.0,2011.0,1.0,0.0,549.0,7289300.0,40770726.0,393000000.0,549.0,1,1,11,untung
UD. Gita Jayabaya,29369585.0,4.0,66.0,96.0,2014.0,1.0,2.0,123.0,4900311.0,34269896.0,486000000.0,123.0,0,0,0,untung
UD. Jihan Tejakencana,31981361.0,1.0,18.0,56.0,2014.0,0.0,0.0,900.0,3525310.0,35506671.0,222000000.0,900.0,0,0,0,untung
UD. Umi Dewangga,37671960.0,1.0,32.0,25.0,2004.0,1.0,1.0,569.0,7380675.0,45052635.0,171000000.0,569.0,1,1,11,untung
UD. Taufik Sudarsana,44623192.0,2.0,53.0,91.0,2023.0,1.0,2.0,358.0,3037191.0,47660383.0,432000000.0,358.0,0,0,0,untung
UD. Haidar Kulon,8153685.0,1.0,10.0,96.0,2021.0,1.0,2.0,268.0,1020121.0,9173806.0,318000000.0,268.0,0,0,0,untung
UD. Marwan Surya,30934106.0,4.0,2.0,79.0,2008.0,0.0,2.0,279.0,1639908.0,32574014.0,243000000.0,279.0,1,0,10,untung
UD. Fatiah Sentosa,-3003010.0,5.0,36.0,96.0,2014.0,0.0,1.0,232.0,9010534.0,6007524.0,396000000.0,232.0,0,1,1,rugi
UD. Joko Sentosa Fikri,28617440.0,2.0,51.0,79.0,2005.0,0.0,3.0,883.0,6011636.0,34629076.0,390000000.0,883.0,1,1,11,untung
UD. Yumna Sulaksana,26552226.0,4.0,81.0,5.0,2001.0,1.0,1.0,105.0,8840601.0,35392827.0,258000000.0,105.0,1,1,11,untung
UD. Pipit Wangi,10031095.0,2.0,40.0,50.0,2013.0,1.0,1.0,92.0,2141101.0,12172196.0,270000000.0,92.0,0,0,0,untung
UD. Reza Nirwana,21210196.0,4.0,27.0,64.0,2022.0,0.0,1.0,537.0,2035655.0,23245851.0,273000000.0,537.0,0,0,0,untung
UD. Willy Arya,31991572.0,2.0,32.0,36.0,2002.0,0.0,1.0,496.0,3190008.0,35181580.0,213000000.0,496.0,1,0,10,untung
UD. Uci Bintang,26687459.0,5.0,67.0,95.0,2008.0,0.0,0.0,143.0,2658936.0,29346395.0,486000000.0,143.0,1,0,10,untung
UD. Owen Taruna,5478444.0,4.0,15.0,41.0,2001.0,1.0,3.0,679.0,9300634.0,14779078.0,168000000.0,679.0,1,1,11,untung
UD. Ulil Jayabaya,4971550.0,4.0,84.0,34.0,2020.0,1.0,4.0,511.0,7033408.0,12004958.0,354000000.0,511.0,0,1,1,untung
UD. Fatiah Widuri,21417919.0,5.0,26.0,96.0,2000.0,0.0,1.0,253.0,4162734.0,26648107.6,366000000.0,253.0,1,0,10,untung
UD. Karim Baswara,35471711.0,2.0,14.0,30.0,2016.0,1.0,4.0,120.0,2018198.0,37489909.0,132000000.0,120.0,0,0,0,untung
UD. Yoga Luhur,657150.0,2.0,51.0,31.0,2020.0,0.0,0.0,61.0,9248525.0,9905675.0,246000000.0,61.0,0,1,1,untung
UD. Umar Mulya,8911412.0,4.0,80.0,31.0,2002.0,0.0,0.0,434.0,5829405.0,14740817.0,333000000.0,434.0,1,1,11,untung
UD. Uti Sahaja,30362106.0,5.0,3.0,37.0,2021.0,0.0,2.0,384.0,4181424.0,34543530.0,120000000.0,384.0,0,0,0,untung
UD. Odie Bersemi,24427999.0,1.0,59.0,82.0,2018.0,1.0,2.0,72.0,659571.0,25087570.0,423000000.0,72.0,0,0,0,untung
UD. Bella Kusen,18051651.0,4.0,41.0,63.0,2005.0,1.0,3.0,446.0,9179854.0,27231505.0,312000000.0,446.0,1,1,11,untung
UD. Hesti Galang,26193955.0,2.0,41.0,76.0,2008.0,0.0,2.0,473.0,9289368.0,35483323.0,351000000.0,473.0,1,1,11,untung
UD. Widya Anggara,25875227.0,4.0,52.0,49.0,2009.0,0.0,3.0,652.0,8759065.0,34634292.0,303000000.0,652.0,1,1,11,untung
UD. Mira Wijaya,29395472.0,5.0,21.0,20.0,2011.0,1.0,4.0,118.0,4295043.0,33690515.0,123000000.0,118.0,1,0,10,untung
UD. Niken Resaputra,43166379.0,2.0,86.0,35.0,2022.0,1.0,3.0,175.0,888674.0,44055053.0,363000000.0,175.0,0,0,0,untung
UD. Khalid Mega Qanitah,30787844.0,5.0,17.0,0.0,2014.0,1.0,4.0,232.0,6058441.0,36846285.0,51000000.0,232.0,0,1,1,untung
UD. Mega Gatra,-1492448.0,1.0,37.0,19.0,2004.0,0.4,3.0,556.0,2609190.0,1116742.0,168000000.0,556.0,1,0,10,rugi
UD. Aqila Karang,9786251.0,5.0,74.0,42.0,2023.0,1.0,2.0,643.0,2413141.0,12199392.0,348000000.0,643.0,0,0,0,untung
UD. Zidan Galuh,24754939.0,4.0,67.0,21.0,2010.0,1.0,2.0,325.0,4826455.0,29581394.0,264000000.0,325.0,1,0,10,untung
UD. Jojo Saputrautama,17073020.0,5.0,65.0,0.0,2001.0,1.0,0.0,361.0,9360281.0,26433301.0,195000000.0,361.0,1,1,11,untung
UD. Karla Dharma,-960098.0,1.0,66.0,24.0,2005.0,0.0,2.0,507.0,5593387.0,4633289.0,270000000.0,507.0,1,1,11,rugi
UD. Fatimah Widuri,22079568.0,5.0,28.0,18.0,2005.0,0.0,3.0,747.0,3175630.0,25255198.0,138000000.0,491.8,1,0,10,untung
UD. Eren Selaras Satria,25278065.0,2.0,49.0,59.0,2002.0,0.0,1.8,233.0,597157.0,25875222.0,324000000.0,233.0,1,0,10,untung
UD. Umi Bagaskara Tegar,35119313.0,4.0,89.0,9.0,2014.0,0.0,1.0,326.0,551805.0,35671118.0,294000000.0,326.0,0,0,0,untung
UD. Farhan Jaya,5825065.0,1.0,45.0,47.0,2008.0,0.0,2.0,639.0,6861593.0,12686658.0,276000000.0,639.0,1,1,11,untung
UD. Nando Gandewa,4900646.0,5.0,62.0,44.0,2015.0,1.0,4.0,435.0,4753274.0,9653920.0,318000000.0,435.0,0,0,0,untung
UD. Salsa Kinarya,17797689.0,1.0,42.0,6.0,2022.0,0.0,4.0,99.0,1652224.0,19449913.0,144000000.0,99.0,0,0,0,untung
UD. Rafa Agung,38859160.0,4.0,4.0,17.0,2002.0,1.0,0.0,441.0,7206512.0,46065672.0,63000000.0,441.0,1,1,11,untung
UD. Eren Puri Ulil,28326938.0,4.0,3.0,58.0,2008.0,0.0,3.0,18.0,6113388.0,34440326.0,183000000.0,18.0,1,1,11,untung
UD. Gadis Pelangi Esa,16866484.0,1.0,96.0,77.0,2016.0,1.0,4.0,719.0,9633903.0,26500387.0,519000000.0,719.0,0,1,1,untung
UD. Ovan Agung,-5479523.0,5.0,24.0,73.0,2021.0,1.0,4.0,454.0,6986425.0,1506902.0,291000000.0,454.0,0,1,1,rugi
UD. Chika Paningrat,22963800.0,1.0,46.0,49.0,2020.0,0.0,0.0,943.0,9853463.0,32817263.0,285000000.0,943.0,0,1,1,untung
UD. Aqila Wirawati,37803335.0,4.0,42.0,17.0,2009.0,1.0,0.0,651.0,3232592.0,41035927.0,177000000.0,651.0,1,0,10,untung
UD. Vita Resaputra,6556476.0,1.0,94.0,93.0,2024.0,1.0,2.0,585.0,6106230.0,12662706.0,561000000.0,585.0,0,1,1,untung
UD. Fikra Tri,14781437.0,2.0,54.0,7.0,2002.0,0.0,4.0,232.0,8876685.0,23658122.0,183000000.0,232.0,1,1,11,untung
UD. Tariq Manunggal,20645008.0,2.0,59.0,36.0,2008.0,1.0,0.0,560.0,6232550.0,26877558.0,285000000.0,481.6,1,1,11,untung
UD. Aqila Satriya,20348485.0,5.0,61.0,52.0,2010.0,0.0,4.0,918.0,3344092.0,23692577.0,339000000.0,918.0,1,0,10,untung
UD. Andi Pramudita,27660995.0,1.0,14.0,34.0,2012.0,0.4,4.0,704.0,9190261.0,36851256.0,144000000.0,704.0,1,1,11,untung
UD. Pasha Pramana Ulya,14440580.0,1.0,64.0,15.0,2009.0,0.0,0.0,679.0,9620221.0,24060801.0,237000000.0,679.0,1,1,11,untung
UD. Pipit Jayaningrat,6996229.0,4.0,84.0,48.0,2019.0,1.0,3.0,663.0,6558648.0,13554877.0,396000000.0,663.0,0,1,1,untung
UD. Olla Gatra,1711043.0,4.0,67.0,61.0,2010.0,1.0,3.0,412.0,9699788.0,11410831.0,384000000.0,412.0,1,1,11,untung
UD. Deni Panembahan,5000844.0,2.0,17.0,2.0,2005.0,0.0,1.0,212.0,5751346.0,10752190.0,57000000.0,212.0,1,1,11,untung
UD. Sella Jaya,21905782.0,4.0,81.0,30.0,2003.0,0.0,3.0,745.0,4363936.0,26269718.0,333000000.0,745.0,1,0,10,untung
UD. Qomar Santosa,4885139.0,5.0,39.0,22.0,2000.0,1.0,4.0,79.0,2876055.0,7761194.0,183000000.0,706.6,1,0,10,untung
UD. Ulya Adiwarna,14727272.0,1.0,64.0,99.0,2003.0,1.0,4.0,328.0,788875.0,15516147.0,489000000.0,328.0,1,0,10,untung
UD. Yumna Adiwarna,10899475.0,2.0,71.0,47.0,2006.0,1.0,4.0,963.0,8215726.0,19115201.0,354000000.0,963.0,1,1,11,untung
UD. Wahyu Sukarela,20181629.0,2.0,61.0,21.0,2020.0,0.0,3.0,102.0,9864711.0,30046340.0,246000000.0,102.0,0,1,1,untung
UD. Asep Kawiswara,6732801.0,2.0,74.0,96.0,2000.0,0.0,1.0,331.0,6519083.0,13251884.0,510000000.0,331.0,1,1,11,untung
UD. Tiara Suci,13056743.0,2.0,43.0,37.0,2004.0,0.0,2.0,448.0,6243379.0,19300122.0,138000000.0,448.0,1,1,11,untung
UD. Zain Jagad,25051267.0,5.0,4.0,28.0,2016.0,0.0,4.0,814.0,9888532.0,34939799.0,96000000.0,814.0,0,1,1,untung
UD. Gani Sentosa,32945650.0,2.0,11.0,72.0,2024.0,1.0,1.0,110.0,7893216.0,40838866.0,249000000.0,110.0,0,1,1,untung
UD. Xenia Tunggul,553723.0,2.0,0.0,68.0,2008.0,0.0,0.0,961.0,5253542.0,5807265.0,204000000.0,961.0,1,1,11,untung
